company_name,description,category,location,source,cleaned_description,combined,cluster,cluster_name,cluster_quality,tags,startup_cluster,startup_cluster_name,startup_cluster_quality
HOLLYFY,market Brand Marketing stage  employees 1-10 location Los Angeles,Brand Marketing,Los Angeles,angellist,market brand marketing stage employees 1 10 location los angeles,HOLLYFY market brand marketing stage employees 1 10 location los angeles Brand Marketing,4,BPO / Telecom / Retail Operations,mixed,Marketplace,4,Developer Tools / Infra,mixed
Visiblee,market B2B stage  employees 11-50 location Mountain View,B2B,Mountain View,angellist,market b2b stage employees 11 50 location mountain view,Visiblee market b2b stage employees 11 50 location mountain view B2B,4,BPO / Telecom / Retail Operations,mixed,"AI, B2B",4,Developer Tools / Infra,mixed
ThisWay Global,market Human Resources stage  employees 11-50 location Austin,Human Resources,Austin,angellist,market human resources stage employees 11 50 location austin,ThisWay Global market human resources stage employees 11 50 location austin Human Resources,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
ZephyCloud,market Open Source stage  employees 11-50 location Marseille,Open Source,Marseille,angellist,market open source stage employees 11 50 location marseille,ZephyCloud market open source stage employees 11 50 location marseille Open Source,4,BPO / Telecom / Retail Operations,mixed,DevTools,4,Developer Tools / Infra,mixed
AnyMetrics,market Small and Medium Businesses stage  employees  location Earth,Small and Medium Businesses,Earth,angellist,market small and medium businesses stage employees location earth,AnyMetrics market small and medium businesses stage employees location earth Small and Medium Businesses,4,BPO / Telecom / Retail Operations,mixed,B2B,4,Developer Tools / Infra,mixed
MagicPrice,market Hotels stage  employees 1-10 location Tokyo,Hotels,Tokyo,angellist,market hotels stage employees 1 10 location tokyo,MagicPrice market hotels stage employees 1 10 location tokyo Hotels,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Secured Universe,market Android stage  employees 1-10 location San Diego,Android,San Diego,angellist,market android stage employees 1 10 location san diego,Secured Universe market android stage employees 1 10 location san diego Android,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
GeoPhy,market Big Data Analytics stage  employees 51-200 location Delft,Big Data Analytics,Delft,angellist,market big data analytics stage employees 51 200 location delft,GeoPhy market big data analytics stage employees 51 200 location delft Big Data Analytics,4,BPO / Telecom / Retail Operations,mixed,Other,5,Marketplace / Creator Economy,mixed
Monument,market Consumer Electronics stage Seed employees 1-10 location Chicago,Consumer Electronics,Chicago,angellist,market consumer electronics stage seed employees 1 10 location chicago,Monument market consumer electronics stage seed employees 1 10 location chicago Consumer Electronics,4,BPO / Telecom / Retail Operations,mixed,B2C,3,HealthTech Startups,mostly_clean
XR Web,market Blockchain / Cryptocurrency stage  employees 11-50 location Singapore,Blockchain / Cryptocurrency,Singapore,angellist,market blockchain cryptocurrency stage employees 11 50 location singapore,XR Web market blockchain cryptocurrency stage employees 11 50 location singapore Blockchain / Cryptocurrency,4,BPO / Telecom / Retail Operations,mixed,AI,4,Developer Tools / Infra,mixed
Global Innovation,market SaaS stage  employees 1-10 location New York City,SaaS,New York City,angellist,market saas stage employees 1 10 location new york city,Global Innovation market saas stage employees 1 10 location new york city SaaS,4,BPO / Telecom / Retail Operations,mixed,SaaS,4,Developer Tools / Infra,mixed
GamePlan Learning,market Career Planning stage Seed employees 11-50 location Atlanta,Career Planning,Atlanta,angellist,market career planning stage seed employees 11 50 location atlanta,GamePlan Learning market career planning stage seed employees 11 50 location atlanta Career Planning,4,BPO / Telecom / Retail Operations,mixed,EdTech,3,HealthTech Startups,mostly_clean
Townista,market Online Reservations stage Seed employees 1-10 location Bengaluru,Online Reservations,Bengaluru,angellist,market online reservations stage seed employees 1 10 location bengaluru,Townista market online reservations stage seed employees 1 10 location bengaluru Online Reservations,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
Luxie,market Internet of Things stage  employees 1-10 location Tokyo,Internet of Things,Tokyo,angellist,market internet of things stage employees 1 10 location tokyo,Luxie market internet of things stage employees 1 10 location tokyo Internet of Things,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Scarlett Studio,market Smart Tv stage  employees 1-10 location Sunnyvale,Smart Tv,Sunnyvale,angellist,market smart tv stage employees 1 10 location sunnyvale,Scarlett Studio market smart tv stage employees 1 10 location sunnyvale Smart Tv,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Snowcookie Sports,market Internet of Things stage Seed employees 11-50 location Poland,Internet of Things,Poland,angellist,market internet of things stage seed employees 11 50 location poland,Snowcookie Sports market internet of things stage seed employees 11 50 location poland Internet of Things,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
Contentop,market Writing stage  employees 1-10 location Nagercoil,Writing,Nagercoil,angellist,market writing stage employees 1 10 location nagercoil,Contentop market writing stage employees 1 10 location nagercoil Writing,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Lift,market Hr Tech stage  employees 1-10 location Netherlands,Hr Tech,Netherlands,angellist,market hr tech stage employees 1 10 location netherlands,Lift market hr tech stage employees 1 10 location netherlands Hr Tech,4,BPO / Telecom / Retail Operations,mixed,HRTech,4,Developer Tools / Infra,mixed
Shine,market Website stage Seed employees 1-10 location New York City,Website,New York City,angellist,market website stage seed employees 1 10 location new york city,Shine market website stage seed employees 1 10 location new york city Website,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
Zero  Email,market Legal Tech stage Seed employees 1-10 location Los Gatos,Legal Tech,Los Gatos,angellist,market legal tech stage seed employees 1 10 location los gatos,Zero  Email market legal tech stage seed employees 1 10 location los gatos Legal Tech,4,BPO / Telecom / Retail Operations,mixed,AI,3,HealthTech Startups,mostly_clean
IonPath,market Diagnostics stage  employees  location Stanford,Diagnostics,Stanford,angellist,market diagnostics stage employees location stanford,IonPath market diagnostics stage employees location stanford Diagnostics,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
360player.io,market Computer Vision stage Seed employees 1-10 location Paris,Computer Vision,Paris,angellist,market computer vision stage seed employees 1 10 location paris,360player.io market computer vision stage seed employees 1 10 location paris Computer Vision,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
Mixvisor,market Content Discovery stage Seed employees 1-10 location Sydney,Content Discovery,Sydney,angellist,market content discovery stage seed employees 1 10 location sydney,Mixvisor market content discovery stage seed employees 1 10 location sydney Content Discovery,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
UB,market Developer APIs stage Seed employees 1-10 location London,Developer APIs,London,angellist,market developer apis stage seed employees 1 10 location london,UB market developer apis stage seed employees 1 10 location london Developer APIs,4,BPO / Telecom / Retail Operations,mixed,DevTools,3,HealthTech Startups,mostly_clean
Hexo+,market Drones stage  employees 11-50 location Grenoble,Drones,Grenoble,angellist,market drones stage employees 11 50 location grenoble,Hexo+ market drones stage employees 11 50 location grenoble Drones,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Legal Robot,market Legal stage  employees 1-10 location San Francisco,Legal,San Francisco,angellist,market legal stage employees 1 10 location san francisco,Legal Robot market legal stage employees 1 10 location san francisco Legal,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Spilly,market Augmented Reality stage Seed employees 11-50 location Berlin,Augmented Reality,Berlin,angellist,market augmented reality stage seed employees 11 50 location berlin,Spilly market augmented reality stage seed employees 11 50 location berlin Augmented Reality,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
re:infer,market SaaS stage Seed employees 1-10 location London,SaaS,London,angellist,market saas stage seed employees 1 10 location london,re:infer market saas stage seed employees 1 10 location london SaaS,4,BPO / Telecom / Retail Operations,mixed,SaaS,3,HealthTech Startups,mostly_clean
Incode Technologies,market Photo Editing stage Seed employees 11-50 location San Francisco,Photo Editing,San Francisco,angellist,market photo editing stage seed employees 11 50 location san francisco,Incode Technologies market photo editing stage seed employees 11 50 location san francisco Photo Editing,4,BPO / Telecom / Retail Operations,mixed,DevTools,3,HealthTech Startups,mostly_clean
Telemetrio,market Broadcasting stage Seed employees  location Michigan,Broadcasting,Michigan,angellist,market broadcasting stage seed employees location michigan,Telemetrio market broadcasting stage seed employees location michigan Broadcasting,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
Flock Ltd.,market Drones stage Seed employees 11-50 location London,Drones,London,angellist,market drones stage seed employees 11 50 location london,Flock Ltd. market drones stage seed employees 11 50 location london Drones,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
AgShift,market Technology stage  employees 1-10 location Santa Clara,Technology,Santa Clara,angellist,market technology stage employees 1 10 location santa clara,AgShift market technology stage employees 1 10 location santa clara Technology,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
